question,truthValue,snippet,description,results
do camel have three set eyelid,True,camel have three set eyelid two row eyelash keep sand out eye . camel have thick lip which let forage for thorny plant other animal ca n't eat . camel can completely shut nostril during sandstorm . camel have three set eyelid two row eyelash keep sand out eye . camel have thick lip which let forage for thorny plant other animal ca n't eat . camel can completely shut nostril during sandstorm .,camel have three set eyelid two eyelash while third one is nictating membrane which close off protect eye from sand dirt.1 jun 2012 camel have three eyelid . two eyelid have eye lash which help protect eye from sand . third is very thin lid which ... 28 jan 2014 camel have not one not two three eyelid . called nictitating membrane transparent lid help keep out sand dust ... do camel have 2 set eyelid do camel have 2 set eyelid do camel have 2 set eyelid camel have three eyelid . two eyelid have eye lash which help protect eye from sand . ... camel one largest mammal that boast third eyelid desert darling 's eye need ward off sahara 's swirling sandstorm . animal with ... 24 jul 2017 many eyelid do camel have . eye have incredible protective feature that help see even ongoing gust dessert sand.camels have 3 eyelid total . upper lower eyelid is covered long eyelash move vertically . third eyelid is translucent move horizontally ... 1 answer,89200.0
it is possible sneeze while sleeping,False,is it possible sneeze sleep sneezing is process that body us remove irritant from throat nasal area . it is involuntary reflex which mean that people complete response without consciously thinking . although person may wake up sneeze it is not possible sneeze during sleep . is it possible sneeze sleep sneezing is process that body us remove irritant from throat nasal area . it is involuntary reflex which mean that people complete response without consciously thinking . although person may wake up sneeze it is not possible sneeze during sleep .,what else is suppressed during sleep it 's thought that reason ca n't sneeze 're asleep is because nerve that help sneeze ... jun 10 2022 it would seem reflexive action sneeze . it is nearly impossible certainly uncomfortable stifle poorly timed sneeze . ... jul 16 2022 sneezing during sleep doe not seem possible sometimes strong urge may wake up from nrem sleep make sneeze.feb 2 2012 we actually should more prone sneezing during sleep mucous membrane swell we lie down . make more sensitive ... sep 24 2021 answer most important question yes can sneeze sleep only it earliest stage say eric ascher m.d . family ... even insect crawled across noseyou probably would n't sneeze while dreaming . during rem sleep phase where dream take place muscle ... mar 17 2022 can we sneeze while sleeping ... current consensus is resounding no . theory is that we may do it while we 're bed body ... jul 25 2017 have ever sneezed loudly middle night that woken yourself up think about it . answer is likely no.sep 23 2015 might notice that even on worst allergy day do n't sneeze while asleep . it is actually impossible sneeze ...,5970000.0
australia is country well continent,True,nan,situated geographical region oceania australia is smallest seven traditional continent . australia . australia-new guinea orthographic ... 2 jul 2018 australia is considered continent because it is very large contiguous land mass just north america south america antarctica africa asia ... australia is one most bio-geographically diverse region world . it is oldest continental landmass on earth . located oceania region ... 15 feb 2018 many case will regularly see continent australia defined australia/oceania . fundamentally australia itself is both ... encyclopdia britannica inc. about 3 million square mile 7.7 million square km australia is smallest continent on earth . fact it 's closer ... australia/new zealand sometimes referred australasia . australia is known smallest continent on earth . country ha area 7692000 km ...,45500000.0
herbivore animal consume meat,False,nan,with very few exception such koala no other strictly herbivore . although animal do not hunt will eat meat opportunity present itself . opportunistic carnivore include panda deer cow goat chicken duck . with very few exception such koala no other strictly herbivore . although animal do not hunt will eat meat opportunity present itself . opportunistic carnivore include panda deer cow goat chicken duck . 19 fvr . 202119 sept. 2018 herbivore will occasionally eat meat even 's plenty vegetation left . yes course - hungry animal will eat whatever is available most ... 16 nov. 2012 herbivore eat plant carnivore eat meat few oddball omnivore that eat both . dichotomy plant-eaters meat- ... herbivore can not eat meat because have teeth specialized for grinding plant not meat . move meat next level digestion where ... 20 oct. 2016 classification herbivore v carnivore is one earliest biology lesson we 're taught school . herbivore eat plant ... 27 mar 2015 it turn out load herbivorous animal eat meat get chancelorikeets just most recently reported ... traduire cette page do herbivore ever eat animal do herbivore ever eat animal do herbivore ever eat animal herbivore eating meat vegan even herbivore eat meat ! 6 vegetarian animal that will give nightmare ... 15 avr . 2014 animal that eat plant herbivore animal that eat meat carnivore while animal like u eat anything omnivore . simple .,1.0
cell nucleus wa discovered robert brown,True,robert brown wa scottish botanist wa responsible for discovery nucleus cell is responsible for discovering brownian motion which is random movement microscopic particle . robert brown wa scottish botanist wa responsible for discovery nucleus cell is responsible for discovering brownian motion which is random movement microscopic particle .,antonie philip van leeuwenhoek first observed cell nucleus . nucleus wa actually discovered robert brown wa scottish botanist observed ... nucleus wa discovered robert brown . a. orchid root cell . b. bean root cells.1 answer discovery nucleus cell robert brown discovered nucleus cell 1804. nucleus is membrane-bound organelle present eukaryotic ... 06-jun-2022 although were not first observation cell nucleus designation term ha persisted . observation testify range ... brown published research finding gave speech . discovery nucleus it role helped put together cell theory which state that ... 2 lens from microscope owned robert brown 1820s used it reprise brown 's observation cell nucleus tissue taken from orchid leaf ... robert brown 1831 discovered nucleus cell . important point . cell fundamental organizational unit life is cell . cell organism ...,5750000.0
national flag america ha 50 star,True,nan,50 star on flag represent 50 u.s. state 13 stripe represent thirteen british colony that declared independence from great britain became first state u.s. nickname for flag include star stripe old glory star-spangled banner . 50 star on flag represent 50 u.s. state 13 stripe represent thirteen british colony that declared independence from great britain became first state u.s. nickname for flag include star stripe old glory star-spangled banner.19 janv . 2015 pro-statehood new progressive party puerto rico have designed own 51-star flag that see star positioned circle . 's ... 50 star representing 50 state 13 stripe representing 13 original colony . flag thirteen equal horizontal stripe red ... number star u.s. flag additional state represented ... national museum american history flag from abraham lincoln 's funeral train.22 avr . 2021 artist 's rendering potential american flag with 51 star used 51st u.s. state join united state america.7 juin 2022 national flag consisting white star 50 since july 4 1960 on blue canton with field 13 alternating stripe 7 red 6 white.english artist 's rendering potential american flag with 51 star used 51st u.s. state join united state america.nicknames for flag include `` star stripe '' `` old glory '' `` star-spangled banner '' . because it symbolism starred blue canton is called ... 16 sept. 2019 worker have installed score american flag view u.s. capitol on pennsylvania avenue nw . what make these flag special,56.0
pneumonia is infection that affect lung,True,pneumonia is infection that inflames air sac one both lung . air sac may fill with fluid pu purulent material causing cough with phlegm pu fever chill difficulty breathing . variety organism including bacteria virus fungi can cause pneumonia . pneumonia is infection that inflames air sac one both lung . air sac may fill with fluid pu purulent material causing cough with phlegm pu fever chill difficulty breathing . variety organism including bacteria virus fungi can cause pneumonia . jun 13 2020,pneumonia is infection one both lung caused bacteria virus fungi chemical irritant . it is serious infection inflammation ... pneumonia is infection lung that may caused bacteria virus fungi . infection cause lung ' air sac alveolus become inflamed ... pneumonia is infection one both lung caused bacteria virus fungi . infection lead inflammation air sac lung which ... jun 20 2021 pneumonia is infection one both lung . it cause air sac lung fill up with fluid pus.nov 11 2021 pneumonia is form acute respiratory infection that affect lung . lung made up small sac called alveolus ... mar 24 2022 pneumonia is infection that affect one both lung . it cause air sac alveolus lung fill up with fluid pus.pneumonia is infection lung caused bacteria virus . anyone any age can affected child under age four year very ...,21400000.0
capital spain is madrid,True,nan,madrid is capital spain is home spanish royal family well spanish government . it is modern metropolitan city ... madrid is capital spain largest city country . it is also third-largest city european union after london berlin.madrid is capital spain administrative center madrid region . it is located central part iberian peninsula.as capital city spain many neighbourhood madrid . guide will help decide which is best for holiday taste . visit ... spain had no capital whatever capital it had established someone some point . madrid ha highest economic output country . madrid is ... spanish capital is one most populous european union cosmopolitan city where people over 180 nationality live together.25 jul 2020 after death francisco franco authoritarian rule came end democratic constitution wa adopted 1978. it madrid wa ...,455000000.0
ear responsible for smelling,False,nan,may 12 2017 both smell taste disorder treated otolaryngologist doctor specializes disease ear nose throat head ... mar 24 2021 well actually ear responsible for much more than just hearing . fact can even help taste.the ear organ hearing balance . sound wave picked up ear converted electrical impulse sent brain where ... marin cited 2 tip these cell contain protein called receptor that bind odor molecules.the sens gustation taste olfaction smell fall under category chemoreception . specialized cell act receptor for certain chemical ... small area on mucous membrane that line nose olfactory epithelium contains specialized nerve cell called smell receptor . these receptor have ... olfactory system bodily structure that serve sense smell . system consists nose nasal cavity which upper part ... c stangor 2014 area sensory cortex that responds taste is very similar location area that responds smell fact that help explain sense ...,8610000.0
color cherry is red,True,while certainly variety cherry that turn bright vivid red other variety exist that appear much darker almost purple . people often call these dark cherry black cherry . '' rainier cherry sometimes called white cherry '' have white flesh with skin that turn yellowish-pink ripe . while certainly variety cherry that turn bright vivid red other variety exist that appear much darker almost purple . people often call these dark cherry black cherry . '' rainier cherry sometimes called white cherry '' have white flesh with skin that turn yellowish-pink ripe .,different variety with different color cherry red because contain anthocyanin natural pigment that is also antioxidant . anthocyanin ... black cherry is ready for harvest it will red for moment will darken near-black hue.29-oct-2019 it is color scale better adapted european market with preference for red cherry . ctifl cherry color chart . 1 light red . 2 red . 3 ... 24-apr-2015 deep colour tart red cherry is clue health-promoting property . contain flavonoid called anthocyaninsnaturally ... 08-may-2020 cherry become dark ripen approach deep burgundy color . wild cherry have been consumed human since bronze age ... 25-nov-2019 sour `` pie '' cherry including montmorency like pictured here morello variety tart flavor bright red color ... cherry red is deep bright red color with hex code d2042d made almost entirely from red rgb color system . cherry red resembles shade ... from longman dictionary contemporary englishcherrycherry /teri/ s3 noun plural cherry 1 image cherry countablehbpdlc small round red ...,26600000.0
butterfly not bird,True,nan,1 respostabutterflies not considered bird because lack key feature characteristic that evident all bird species.19 de set . de 2020 butterfly can fly with wing just like bird do . butterfly have scale on wing actually have sharp edge . ... is butterfly not bird answer insect have two pair wing while bat bird each have one pair . butterfly wing covered ... family feature magnificent bird that usually associated with coastal habitat . albatross among largest flying bird great ... biodiversity is not only important it own right it also provides society with wide range ecosystem service upon which we depend such food ... 11 de mar . de 2021 new study show bird can learn recognize these visual cue avoiding not only butterfly failed nab past ... 8 de out . de 2015 impressive migrating monarch . most butterfly do not migrate . have ability overwinter larva pupa even adult ... de v pellissier 2020 citado por 24 increase abundance n2000 coverage increased correlated with specialization index for bird not for butterfly .,34100000.0
capital france is washington dc,False,nan,paris is capital most populous city france with estimated population 2165423 resident 2019 area more than 105 km 41 sq ... paris city capital france situated north-central part country . people were living on site present-day city located along ... missing washington washington11 jul 2020 parris is . capital france.nickname nation 's capital statehood washington d.c. is n't state ... some visitor another famous capital paris capital city france.the largest city capital is paris . ... embassy france washington d.c. ... searchable map satellite view france 's capital . google earth ... president washington first took office new york city reelected 1792 capital had already moved philadelphia where it would remain for ...,126000000.0
